,endereço,telefone,avaliação,link_maps,user_ratings_total,coordenadas,nome
47,"Av. Presidente Kennedy, 559 - Campinas, São José - SC, 88101-001, Brazil",(48) 3241-6161,5.0,https://maps.google.com/?cid=11082067947102299621,1.0,"{'lat': -27.6008973, 'lng': -48.6105403}",Dva Pneus
48,"Av. Josué di Bernardi, 781 - Campinas, São José - SC, 88101-201, Brazil",(48) 3241-4080,4.9,https://maps.google.com/?cid=17574005039065898886,54.0,"{'lat': -27.5937104, 'lng': -48.6059392}",Haros Pneus e Rodas - Auto Center
49,"Bela Vista, São José - State of Santa Catarina, 88110-603, Brazil",,0.0,https://maps.google.com/?cid=4692875044543104689,,"{'lat': -27.5787562, 'lng': -48.6227525}",Bela Pneus
50,"Av. Lédio João Martins, 1555 - Kobrasol, São José - SC, 89012-001, Brazil",(48) 3372-9030,4.6,https://maps.google.com/?cid=14131446972251232134,107.0,"{'lat': -27.589217, 'lng': -48.6124829}",Podium Automotive Center
51,"Servidão Aguiar, 133 - Rio Tavares, Florianópolis - SC, 88048-381, Brazil",(48) 99991-6788,4.7,https://maps.google.com/?cid=10747279378938961321,102.0,"{'lat': -27.652086, 'lng': -48.477913}",Roberto Pneus Borracharia
52,"Rua Araci Vaz Callado, 1080 - Canto, Florianópolis - SC, 88070-750, Brazil",(48) 3248-9090,4.6,https://maps.google.com/?cid=7289080712167359574,118.0,"{'lat': -27.5874979, 'lng': -48.5855894}",Jóia Pneus
53,"R. Camilo Veríssimo da Silva, 350 - Roçado, São José - SC, 88108-250, Brazil",(48) 99900-2655,4.9,https://maps.google.com/?cid=6620279326190933723,8.0,"{'lat': -27.5950962, 'lng': -48.6195224}",Borracharia pneus e rodas Villas pneus
54,"Av. Barão do Rio Branco, 101 - Centro, Palhoça - SC, 88130-101, Brazil",(48) 3242-1958,4.5,https://maps.google.com/?cid=13199408826029927699,98.0,"{'lat': -27.6493476, 'lng': -48.6685039}",Rudi Pneus
55,"R. Valentim Viêira Salima Salum, 989 - Rio Caveiras, Biguaçu - SC, 88160-302, Brazil",(48) 4109-0105,4.9,https://maps.google.com/?cid=4335962726980438081,82.0,"{'lat': -27.5067053, 'lng': -48.6472935}",Coelho Pneus
56,"R. Vinícius de Moraes, 1 - Pte. do Imaruim, Palhoça - SC, 88130-605, Brazil",(48) 99948-9287,5.0,https://maps.google.com/?cid=4033782827183620286,10.0,"{'lat': -27.6286722, 'lng': -48.6569762}",JC Pneus
57,"R. José Corrêa, 128 - Tapera, Florianópolis - SC, 88049-400, Brazil",(48) 3337-1453,3.1,https://maps.google.com/?cid=12008145735435388540,11.0,"{'lat': -27.6897562, 'lng': -48.5551205}",Borracharia Naza Pneus
58,"R. Edeling Schutz, 359 - Centro, Palhoça - SC, 88131-340, Brazil",(48) 3342-8784,4.4,https://maps.google.com/?cid=5789956472306382780,67.0,"{'lat': -27.6560112, 'lng': -48.6770791}",F1 Pneus
59,"R. Nelson Floriano Campos, 3327 - Barra do Aririu, Palhoça - SC, 88134-100, Brazil",(48) 99140-1771,4.8,https://maps.google.com/?cid=9443971065863191550,11.0,"{'lat': -27.6792315, 'lng': -48.6680832}",101 Pneus
60,"R. João Câncio Jacques, 1351 - Costeira do Pirajubaé, Florianópolis - SC, 88047-000, Brazil",(48) 99949-3093,4.4,https://maps.google.com/?cid=3918867317597382462,43.0,"{'lat': -27.6301994, 'lng': -48.5238851}",Borracharia Canarinho
61,"R. João Pio Duarte Silva, 1300 - Córrego Grande, Florianópolis - SC, 88037-001, Brazil",(48) 3226-8830,4.3,https://maps.google.com/?cid=9621075684591058308,44.0,"{'lat': -27.6015266, 'lng': -48.5045575}",Borracharia
62,"R. Santos Saraiva, 915 - Estreito, Florianópolis - SC, 88070-101, Brazil",,4.2,https://maps.google.com/?cid=17572459922546876766,54.0,"{'lat': -27.5945417, 'lng': -48.5811011}",Borracharia do Edu
63,"Carvoeira, Florianópolis - State of Santa Catarina, 88040-000, Brazil",,3.8,https://maps.google.com/?cid=14198803914025177750,11.0,"{'lat': -27.6017049, 'lng': -48.5171039}",Borracharia
64,"Servidão José Manoel Nunes, 59 - Itacorubi, Florianópolis - SC, 88034-365, Brazil",(48) 3236-2397,4.6,https://maps.google.com/?cid=5305673854913320691,99.0,"{'lat': -27.5841922, 'lng': -48.4955995}",Silênio Borracharia
65,"Saco Grande, Florianópolis - State of Santa Catarina, 88032-088, Brazil",,4.4,https://maps.google.com/?cid=1927054631639732481,33.0,"{'lat': -27.5427933, 'lng': -48.5035538}",Borracharia
66,"trans - Rua, trans - R. Subida da Caiera, n. 1210 - Centro, Florianópolis - SC, 88045-398, Brazil",(48) 3333-8273,4.6,https://maps.google.com/?cid=80510196433478565,19.0,"{'lat': -27.5927334, 'lng': -48.5339561}",Borracharia Do Elias
67,"Monte Cristo, Florianópolis - State of Santa Catarina, 88090-598, Brazil",,4.2,https://maps.google.com/?cid=4728321774685169996,5.0,"{'lat': -27.5923086, 'lng': -48.6021234}",Borracharia
68,"R. Cruz e Souza, 30 - Campinas, São José - SC, 88101-040, Brazil",,4.7,https://maps.google.com/?cid=4850376543797109168,90.0,"{'lat': -27.6004385, 'lng': -48.61061369999999}",Borracharia Osmar
69,"Rod. João Gualberto Soares, 5748 - São João do Rio Vermelho, Florianópolis - SC, 88060-000, Brazil",,4.2,https://maps.google.com/?cid=9429588719184776086,11.0,"{'lat': -27.4842013, 'lng': -48.4201511}",Mecânica Divino Chapeação e Borracharia
70,"R. Prof. Egídio Ferreira, 1200 - Capoeiras, Florianópolis - SC, 88090-500, Brazil",(48) 98465-5970,4.5,https://maps.google.com/?cid=9712111921131691025,41.0,"{'lat': -27.5874785, 'lng': -48.6006531}",Borracharia JA
71,"R. Gen. Bittencourt, 348 - Centro, Florianópolis - SC, 88020-100, Brazil",(48) 3333-9490,3.4,https://maps.google.com/?cid=16223483337531081781,45.0,"{'lat': -27.597014, 'lng': -48.545554}",Guincho Oficina Mecanica 24 hs Borracharia Carro e Motos 24hs
72,"R. Jacobe Sens, 301 - Areias, São José - SC, 88113-285, Brazil",(48) 3246-9803,4.6,https://maps.google.com/?cid=161380678654431572,20.0,"{'lat': -27.5553172, 'lng': -48.6234077}",Borracharia Vitória
73,"SC-405, 2747 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",,3.6,https://maps.google.com/?cid=16367758269337334902,9.0,"{'lat': -27.6598342, 'lng': -48.5026617}",Borracharia Silva
74,"Av. Marinheiro Max Schramm, 3299-3249 - Jardim Atlântico, Florianópolis - SC, 88095-240, Brazil",,4.0,https://maps.google.com/?cid=4572901655864021356,5.0,"{'lat': -27.5769077, 'lng': -48.5941585}",Borracharia
75,"R. Rui Barbosa, 724 - Agronômica, Florianópolis - SC, 88025-301, Brazil",(48) 3365-8016,4.1,https://maps.google.com/?cid=14533918042170145067,56.0,"{'lat': -27.5743442, 'lng': -48.5356521}",Clinic of Wheels and Tire
76,"R. Ver. Arthur Manoel Mariano, 1986 - Forquilhinhas, São José - SC, 88106-501, Brazil",(48) 99915-9940,4.3,https://maps.google.com/?cid=13313106518499189139,11.0,"{'lat': -27.5962948, 'lng': -48.6481112}",Borracharia Fernandes - Borracharia e Auto Center
77,"Pte. do Imaruim, Palhoça - State of Santa Catarina, 88130-300, Brazil",,4.5,https://maps.google.com/?cid=9270873435096561847,15.0,"{'lat': -27.6332993, 'lng': -48.6432201}",BORRACHARIA DA PONTE
78,"R. Olávo Bilac, 997 - Jardim Eldorado, Palhoça - SC, 88133-350, Brazil",(48) 3341-3838,4.9,https://maps.google.com/?cid=2147097342157042919,115.0,"{'lat': -27.625782, 'lng': -48.666018}",Borracharia Orelha
79,"Servidão Manoel Amaro Laureano, 2-120 - Saco Grande, Florianópolis - SC, 88032-253, Brazil",(48) 98865-5726,4.5,https://maps.google.com/?cid=5969841945255032745,2.0,"{'lat': -27.5525375, 'lng': -48.4967415}",Borracharia
80,"R. Ver. Mário Coelho Pires, 189 - Campinas, São José - SC, 88101-280, Brazil",(48) 99828-7060,4.5,https://maps.google.com/?cid=14263527493307576175,43.0,"{'lat': -27.5963856, 'lng': -48.6065291}",Borracharia do Peruca
81,"R. Ver. Arthur Manoel Mariano, 183 - Forquilhinhas, São José - SC, 88106-500, Brazil",,3.8,https://maps.google.com/?cid=1406486249785564274,21.0,"{'lat': -27.6045791, 'lng': -48.63550859999999}",Borracharia Do Alemao
82,"Rod. Baldicero Filomeno, 4822 - Ribeirão da Ilha, Florianópolis - SC, 88064-002, Brazil",,4.4,https://maps.google.com/?cid=9205486743287547066,14.0,"{'lat': -27.6996994, 'lng': -48.5508019}",Borracharia
83,"R. Ver. Arthur Manoel Mariano, 1986 - Forquilhinhas, São José - SC, 88106-501, Brazil",(48) 98441-4719,4.6,https://maps.google.com/?cid=8512778031019356276,50.0,"{'lat': -27.5962948, 'lng': -48.6481112}",Borracharia Márcio
84,"R. Valentim Vieira - Praia João Rosa, Biguaçu - SC, 88160-000, Brazil",(48) 98432-7853,4.5,https://maps.google.com/?cid=12080060318369554190,28.0,"{'lat': -27.5095257, 'lng': -48.6442538}",Borracharia Do Fernando
85,"R. Heriberto Hulse, 267 - Jardim Santiago, São José - SC, 88111-100, Brazil",(48) 99656-9011,4.3,https://maps.google.com/?cid=7883464068222907777,4.0,"{'lat': -27.5581646, 'lng': -48.6180277}",Borracharia Carlinhos
86,"R. Albertina Ludwig - Bela Vista, São José - SC, 88110-648, Brazil",98422-8807,4.4,https://maps.google.com/?cid=15201109903886657689,7.0,"{'lat': -27.5784652, 'lng': -48.6217039}",Borracharia Fagundes
87,"Rua trans caeira1210 - Centro, Florianópolis - SC, 88045-398, Brazil",(48) 3333-8273,0.0,https://maps.google.com/?cid=9961404640074695592,,"{'lat': -27.59564, 'lng': -48.532244}",He borracharia
88,"Rod. SC 401, n°5487 - trevo de cacupé, 100metros após entrada do bairro - Cacupé, Florianópolis - SC, 88032-005, Brazil",(48) 3338-2102,4.7,https://maps.google.com/?cid=17531793593030826384,11.0,"{'lat': -27.5356525, 'lng': -48.5100468}",Jovem Car Borracharia 24hrs Lavação Troca de Óleo Balanceamento e Geometria
89,"Agronômica, Florianópolis - State of Santa Catarina, 88010-400, Brazil",(48) 3333-0764,4.8,https://maps.google.com/?cid=16500039311213279106,8.0,"{'lat': -27.5756712, 'lng': -48.5289744}",Borracharia E Mecânica
90,"Rua Cassol, 353 - Kobrasol, São José - SC, 88102-340, Brazil",(48) 3372-9280,4.2,https://maps.google.com/?cid=14242510657445911217,68.0,"{'lat': -27.5950756, 'lng': -48.6189575}",Borracharia Kobrasol
91,"Av. Atílio Pedro Pagani, 461, Palhoça - SC, 88132-149, Brazil",(48) 99905-6717,4.6,https://maps.google.com/?cid=7793901461136264706,55.0,"{'lat': -27.6428478, 'lng': -48.6698351}",Litoral Pneus e Borracharia
92,"SC-281 - Picadas do Sul, São José - SC, Brazil",(48) 99997-4003,4.3,https://maps.google.com/?cid=9061692541160600761,39.0,"{'lat': -27.6112156, 'lng': -48.6529326}",Bino Borracharia
93,"Rodovia Francisco Magno Vieira, 136 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 99127-1595,4.2,https://maps.google.com/?cid=13939631894187662475,15.0,"{'lat': -27.6630899, 'lng': -48.5023048}",Borracharia Gringo
94,"Av. Josué di Bernardi, 926 - Monte Cristo, Florianópolis - SC, 88090-518, Brazil",(48) 99607-7268,2.3,https://maps.google.com/?cid=16005351945848752416,3.0,"{'lat': -27.5903084, 'lng': -48.6057619}",Borracharia e Mecânica
95,"R. Henrique Valgas, 170 - Centro, Florianópolis - SC, 88010-220, Brazil",(48) 3238-5018,5.0,https://maps.google.com/?cid=3715677512738637191,4.0,"{'lat': -27.5943171, 'lng': -48.5596774}",Borracharia e Lavação - Clinica do pneu
96,"Rod. Armando Calil Bulos, 4574 - Ingleses Norte, Florianópolis - SC, 88058-001, Brazil",(48) 3369-0793,4.6,https://maps.google.com/?cid=15424520091781468658,323.0,"{'lat': -27.4398226, 'lng': -48.4161077}",Tire Pit Stop
97,"Rodovia Dr. Antônio Luiz Moura Gonzaga, 4819 - Rio Tavares, Florianópolis - SC, 88048-300, Brazil",(48) 99959-2406,4.4,https://maps.google.com/?cid=8914942114139542024,10.0,"{'lat': -27.6617108, 'lng': -48.5003371}",Borracharia Bigode
98,"R. Princesa Isabel, 150 - Forquilhinhas, São José - SC, 88106-730, Brazil",,4.8,https://maps.google.com/?cid=14101364508409426088,9.0,"{'lat': -27.5995547, 'lng': -48.6436982}",Borracharia Antonio
99,"R. Júlio José Gonçalves, 168 - Barra da Lagoa, Florianópolis - SC, 88061-375, Brazil",(48) 3232-3628,4.5,https://maps.google.com/?cid=15097578766746140211,55.0,"{'lat': -27.5751428, 'lng': -48.4326113}",Borracharia Barrense
100,"R. Manoel Loureiro, 7 - Barreiros, São José - SC, 88117-331, Brazil",,0.0,https://maps.google.com/?cid=9666793420391119848,,"{'lat': -27.5728628, 'lng': -48.6031458}",Borracharia
101,"R. Itaguaçu, 550 - Bela Vista, São José - SC, 88110-790, Brazil",,4.3,https://maps.google.com/?cid=15855110409657816001,4.0,"{'lat': -27.5744892, 'lng': -48.62354610000001}",Auto Stilo Borracharia
102,"R. Luiz Dalmolin - Dalmolin, Biguaçu - SC, 88160-000, Brazil",(48) 99965-5503,4.7,https://maps.google.com/?cid=17864639633928739285,7.0,"{'lat': -27.4867964, 'lng': -48.6485151}",Borracharia do Pesão
103,"Rod. Br 101 Km 199 Ao Km 201, 107 - Serraria, São José - SC, 88115-100, Brazil",(48) 99105-7042,5.0,https://maps.google.com/?cid=13686617798658218858,1.0,"{'lat': -27.5340316, 'lng': -48.6304595}",Borracharia
104,"R. Paralela, 134 - Capoeiras, Florianópolis - SC, 88090-067, Brazil",(48) 99928-7767,4.3,https://maps.google.com/?cid=1516723122482208749,27.0,"{'lat': -27.5922982, 'lng': -48.6034812}",7 Custom Oficina De Motos e Borracharia De Carros e Motos
105,"R. Domingos Coelho, 108 - Praia João Rosa, Biguaçu - SC, 88160-000, Brazil",(48) 3285-4993,4.5,https://maps.google.com/?cid=148926646469174619,46.0,"{'lat': -27.5066695, 'lng': -48.6460082}",Borracharia 2000
106,"Enseada de Brito, Palhoça - State of Santa Catarina, Brazil",,4.4,https://maps.google.com/?cid=5323532439224866712,10.0,"{'lat': -27.7606006, 'lng': -48.6324439}",Borracharia
107,"Av. Valfride Vieira Martins, 84 - Caminho Novo, Palhoça - SC, 88132-704, Brazil",(48) 99959-2777,4.6,https://maps.google.com/?cid=13969136847779924653,15.0,"{'lat': -27.6580796, 'lng': -48.6826364}",Borracharia GS Pneus
108,"R. Franklin Cascaes, 117 - Real Parque, São José - SC, 88113-410, Brazil",(48) 98404-7103,4.6,https://maps.google.com/?cid=10405866078551748686,14.0,"{'lat': -27.5652628, 'lng': -48.6385403}",Borracharia Ribeiro Pneus
109,"R. Álvaro Medeiros Santiago - Areias, São José - SC, 88113-600, Brazil",(48) 98829-2309,0.0,https://maps.google.com/?cid=10083051007258872336,,"{'lat': -27.5510685, 'lng': -48.6271237}",Borracharia
110,"Rod. João Gualberto Soares, 1515 - Sala 01 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-300, Brazil",(48) 99917-9170,4.2,https://maps.google.com/?cid=3633986504426153669,45.0,"{'lat': -27.453102, 'lng': -48.404386}",Boby Borracharia
111,"Estr. Dário Manoel Cardoso, 1020 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-400, Brazil",(48) 99846-2691,4.6,https://maps.google.com/?cid=8283853953266987672,36.0,"{'lat': -27.447006, 'lng': -48.3969793}",Ki-Furao Borracharia
112,"Brejaru, Palhoça - State of Santa Catarina, 88139-376, Brazil",84385772,4.7,https://maps.google.com/?cid=17134928250959712862,3.0,"{'lat': -27.630231, 'lng': -48.659774}",Borracharia Avenida
113,"Servidão Canto Verde, 51 - Lagoa da Conceição, Florianópolis - SC, 88062-271, Brazil",(48) 99176-8753,0.0,https://maps.google.com/?cid=8539794764005077375,,"{'lat': -27.604114, 'lng': -48.47645199999999}",Borracharia do Canto
114,"Av. Marinheiro Max Schramm, 3391 - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 3240-0225,4.3,https://maps.google.com/?cid=4043508812013837605,22.0,"{'lat': -27.5764639, 'lng': -48.5955253}",Samurai Borracharia
115,"R. Edeling Schutz, 709 - Centro, Palhoça - SC, 88131-040, Brazil",(48) 99933-2708,4.3,https://maps.google.com/?cid=11206086960424746665,8.0,"{'lat': -27.655962, 'lng': -48.6776656}",FP Borracharia
116,"Rod. Francisco Thomaz dos Santos, 5597 - Armacao do Pântano do Sul, Florianópolis - SC, 88066-260, Brazil",(48) 99841-6852,4.1,https://maps.google.com/?cid=4161203132123089890,8.0,"{'lat': -27.7487303, 'lng': -48.510611}",Borracharia & Bicilhetaria Lorenzi
117,"R. João Izídio de Souza - Serraria, São José - SC, 88115-660, Brazil",(48) 99129-5027,4.0,https://maps.google.com/?cid=18062248909872519531,9.0,"{'lat': -27.543415, 'lng': -48.6483913}",BORRACHARIA RESENDI
118,"Rua, Av. Presidente Kennedy, 577 - Campinas, São José - SC, 88101-001, Brazil",(48) 3241-6161,4.6,https://maps.google.com/?cid=2593102415130531989,199.0,"{'lat': -27.6010837, 'lng': -48.6105177}",Dva São José - Revenda Michelin
119,"Av. Gov. Jorge Lacerda, 226 - Campinas, São José - SC, 88101-270, Brazil",(48) 3241-8000,4.5,https://maps.google.com/?cid=17292712021411393656,79.0,"{'lat': -27.5956243, 'lng': -48.607988}",Santa Helena Pneus
120,"Rodovia Francisco Magno Vieira, 1305 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3334-0434,4.2,https://maps.google.com/?cid=5150695318203757381,11.0,"{'lat': -27.6552848, 'lng': -48.5145682}",Serramar Pneus
121,"Rodovia Francisco Magno Vieira, 1608 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3226-0148,4.7,https://maps.google.com/?cid=17398676787091774912,61.0,"{'lat': -27.6570561, 'lng': -48.5124885}",Nei Pneus e Rodas
122,"Aririu, Palhoça - State of Santa Catarina, 88135-020, Brazil",(48) 99834-1722,3.3,https://maps.google.com/?cid=10219703440706687968,14.0,"{'lat': -27.6641887, 'lng': -48.6758849}",ROGER PNEUS
123,"Pagani, Palhoça - State of Santa Catarina, 88132-227, Brazil",(48) 3242-9641,4.7,https://maps.google.com/?cid=5317898536782342443,42.0,"{'lat': -27.6404735, 'lng': -48.684597}",RUDI PNEUS
124,"São João do Rio Vermelho, Florianópolis - State of Santa Catarina, 88060-259, Brazil",,0.0,https://maps.google.com/?cid=12112847644238414087,,"{'lat': -27.4811204, 'lng': -48.4193106}",Ps Pneus
125,"R. Camilo Veríssimo da Silva, 555 - Roçado, São José - SC, 88102, Brazil",,0.0,https://maps.google.com/?cid=3300713284866610359,,"{'lat': -27.5932905, 'lng': -48.618891}",Tec pneus
126,"R. Dep. Antônio Edu Vieira, 490 - Pantanal, Florianópolis - SC, 88040-001, Brazil",(48) 3879-7903,4.6,https://maps.google.com/?cid=17401929302178588765,99.0,"{'lat': -27.6105503, 'lng': -48.5237329}",Sport Rodas
127,"R. Eugênio Portela, 08 - Barreiros, São José - SC, 88117-010, Brazil",(48) 3240-1651,4.8,https://maps.google.com/?cid=6270081185997304019,18.0,"{'lat': -27.5748498, 'lng': -48.6012068}",Julio Rodas
