,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJ4aINJbw1J5URWcUYoTbTaFE,OPERATIONAL,"R. José Cosme Pamplona, 2494 - Bela Vista, Palhoça - SC, 88132-700, Brazil",(48) 99822-0611,4.5,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=5866170746234520921,8,"{'lat': -27.6578341, 'lng': -48.6933374}",Borracharia Bela Vista
ChIJ3WObDwVLJ5URYruJ6FkndZk,OPERATIONAL,"R. Antônio Jovita Duarte, 5725 - Forquilhinhas, São José - SC, 88107-100, Brazil",,5,"['point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=11057787727185034082,5,"{'lat': -27.5809696, 'lng': -48.6748594}",Borracharia Vilmar
ChIJu0k2BqI1J5UR0lhp1RN_H20,OPERATIONAL,"R. Pref. Reinoldo Alves, 1224 - Passa Vinte, Palhoça - SC, 88132-001, Brazil",,4,"['store', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=7863143197573732562,12,"{'lat': -27.6355167, 'lng': -48.6734296}",Borracharia Passa Vinte
ChIJE_EPUnBKJ5UREi24A2yaQnU,OPERATIONAL,"SC-281 - Sertão do Maruim, São José - SC, 88122-001, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8449485639610019090,,"{'lat': -27.6056971, 'lng': -48.6666205}",Borracharia Grillo
ChIJw5ZwUcU1J5URnvwLDUu9NxU,OPERATIONAL,"R. José Cosme Pamplona, 2494 - Bela Vista, Palhoça - SC, 88132-700, Brazil",(48) 98492-6080,5,"['point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1528898728554658974,1,"{'lat': -27.6578658, 'lng': -48.6933596}",Borracharia confiança
ChIJdZjXh4jLIJURANFtJ3opJqo,OPERATIONAL,"R. Pedro Neri Schwinden, 1637 - Vargem dos Pineiros, Santo Amaro da Imperatriz - SC, 88140-000, Brazil",(48) 3245-0230,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12260532640187011328,13,"{'lat': -27.6863714, 'lng': -48.7402603}",Ademir Pneus
ChIJ3a3DBNc1J5URhORzQCPvYfM,OPERATIONAL,"Av. Atílio Pedro Pagani, 271 - Pagani, Palhoça - SC, 88132-000, Brazil",(48) 3240-4900,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17537561358641652868,27,"{'lat': -27.6425107, 'lng': -48.6723509}",Casa Grande Palhoça / Loja de Pneus em Palhoça
ChIJh4Mnu-ZQ35QRYonkG9iezL8,OPERATIONAL,"R. Getúlio Vargas, 777, São João Batista - SC, 88240-000, Brazil",(48) 3265-0090,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13820596007511296354,40,"{'lat': -27.2665862, 'lng': -48.8456144}",Monte Carlo Pneus
ChIJhxAZ4P6-35QRN1tpB9jnnQA,OPERATIONAL,"SC-350, Aurora - SC, 89186-000, Brazil",(47) 3524-0890,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=44446486366870327,1,"{'lat': -27.2969178, 'lng': -49.6465516}",K & K Pneus
ChIJQ1wsv2mR35QRxg7I1pLu-O8,OPERATIONAL,"R. Carlos Thiesen, 455 - Centro, Ituporanga - SC, 88400-000, Brazil",(47) 3533-7000,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17291833083725090502,112,"{'lat': -27.4197721, 'lng': -49.59575659999999}",Lotus Pneus
ChIJNTXZGtuR35QRwy6_dN49XEU,OPERATIONAL,"R. Pres. Nereu, 568 - Centro, Ituporanga - SC, 88400-000, Brazil",(47) 3533-2090,4.9,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=4997937712125128387,24,"{'lat': -27.4204346, 'lng': -49.60193710000001}",Kg Pneus Autocenter
ChIJKUM1s3G535QR9pApVOlx8Xc,OPERATIONAL,"Rod. BR 470, 13901, Km 148 - Pamplona, SC, 89164-300, Brazil",(47) 3525-0066,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8642814406854021366,1,"{'lat': -27.239052, 'lng': -49.683271}",DVA Pneus - Truck Center - Michelin - Rio do Sul
ChIJX6pqb8ZlIJURw5pG448hmdU,OPERATIONAL,"R. Frontino Vieira de Souza, 220, Bom Retiro - SC, 88680-000, Brazil",(49) 99913-1644,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=15391370103392475843,1,"{'lat': -27.7977441, 'lng': -49.4878042}",Lavação Tio Dera
ChIJq9FnYFW435QRrfCIYiq84-I,OPERATIONAL,"R. Lauro Müler, 27 - Budag, Rio do Sul - SC, 89160-000, Brazil",(47) 3521-3089,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16349117962512822445,31,"{'lat': -27.2229909, 'lng': -49.6513867}",Ag Pneus - Rio Do Sul - Revenda Michelin
ChIJ92YfPFe435QRO7AKYZ5Lnjg,OPERATIONAL,"R. Dom Pedro II, 985 - Canoas, Rio do Sul - SC, 89160-000, Brazil",(47) 3525-3081,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4079781456049254459,169,"{'lat': -27.221589, 'lng': -49.658075}",SCA Tires and Wheels
ChIJY5GNlpKzIJURw-tLl2991w0,OPERATIONAL,"R. Daniel Petri, 326, Antônio Carlos - SC, 88180-000, Brazil",(48) 3272-0305,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=997403760719031235,19,"{'lat': -27.5154116, 'lng': -48.76728689999999}",JV Pneus
ChIJmTyb0qy535QRITLNPbaRy_4,OPERATIONAL,"R. Francisco Carvalho, 56 - Canoas, Rio do Sul - SC, 89160-000, Brazil",(47) 3521-1588,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18359928517812892193,3,"{'lat': -27.2155784, 'lng': -49.650371}",Bubi Pneus
ChIJ9Z52fL6535QROA8SKKPnkpE,OPERATIONAL,"BR-470, KM 141, 6811 - Canta Galo, Rio do Sul - SC, 89163-020, Brazil",(47) 3525-5050,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10489701170037264184,222,"{'lat': -27.2017986, 'lng': -49.63307}",Red7 Pneus
