,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJ-WTX9rU7J5URZoyyU0wOfZM,OPERATIONAL,"SC-405, 1305 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3232-7070,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10627666416648752230,189,"{'lat': -27.65525, 'lng': -48.5145}",Floripa Pneus Ilha - Pneus e Rodas Para Carros
ChIJtU9nnqg5J5UR8idTHSaDlWM,OPERATIONAL,"R. Dep. Antônio Edu Vieira, 694 - Pantanal, Florianópolis - SC, 88040-001, Brazil",(48) 3371-5855,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7175785781008738290,88,"{'lat': -27.6095364, 'lng': -48.5221559}",Bonetti Auto Center - Pantanal
ChIJawaHwKU5J5URkPbCUWHmmWA,OPERATIONAL,"R. Dep. Antônio Edu Vieira, 162 - Pantanal, Florianópolis - SC, 88040-000, Brazil",(48) 98502-5889,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6960848004735760016,157,"{'lat': -27.6128296, 'lng': -48.52565540000001}",Borracharia Paulista
ChIJnc3E-jA4J5URxXD1z7ozN_s,OPERATIONAL,"Av. Mauro Ramos, 44 - Centro, Florianópolis - SC, 88020-300, Brazil",(48) 4009-5950,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18101994104684900549,250,"{'lat': -27.5997742, 'lng': -48.5449713}",DPaschoal
ChIJo8QOxzI5J5URho8Dw6vUHfg,OPERATIONAL,"Av. Me. Benvenuta, 1113 - Santa Monica, Florianópolis - SC, 88035-000, Brazil",(48) 3240-4900,3.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17878679929907023750,51,"{'lat': -27.5901504, 'lng': -48.5107507}",Casa Grande Santa Mônica / Loja de Pneus em Florianópolis
ChIJe-TQlYA5J5URMLgnNFHJSws,OPERATIONAL,"Tv. Debrandino Machado, 30 - Costeira do Pirajubaé, Florianópolis - SC, 88047-210, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=813965508275058736,,"{'lat': -27.6356277, 'lng': -48.5226142}",L.V. pneus e Borracharia
ChIJAzNLULc7J5URVMYHpFk8nwQ,OPERATIONAL,"Rodovia Francisco Magno Vieira, 1928 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3226-0837,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=333051253150434900,178,"{'lat': -27.657438, 'lng': -48.509268}",ARG pneus
ChIJzVRWBgE5J5URK3_w2JmC_4E,OPERATIONAL,"Rod. Admar Gonzaga, 2625 - Itacorubi, Florianópolis - SC, 88034-001, Brazil",(48) 3233-3070,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9367349347235168043,254,"{'lat': -27.590668, 'lng': -48.494053}",Cezar Pneus
ChIJAwQGzew3J5URVxjmNDlPLxc,OPERATIONAL,"R. Cap. Euclídes de Castro, 22 - Coqueiros, Florianópolis - SC, 88080-010, Brazil",(48) 3248-1313,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1670641093896968279,193,"{'lat': -27.5995045, 'lng': -48.5737921}",Dva Pneus Florianópolis - Revenda Michelin
ChIJER8qFDJIJ5URWZWFnvlPBro,OPERATIONAL,"Avenida Marinheiro Max Schramm, 3285 - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 3028-2018,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13404489274439865689,1168,"{'lat': -27.5769368, 'lng': -48.5944661}",Tires Floripa Florianópolis
ChIJ1eEsUzk4J5URuKz2mgWJ4SY,OPERATIONAL,"Av. Mauro Ramos, 463 - Centro, Florianópolis - SC, 88020-301, Brazil",(48) 3223-7696,3.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2801671100368858296,43,"{'lat': -27.597032, 'lng': -48.5443349}",Eskina Pneus e Mecânica Geral
ChIJoUSzWMs7J5URM7prK1bqKl0,OPERATIONAL,"Rodovia Francisco Magno Vieira, 757 - Costeira do Pirajubaé, Florianópolis - SC, 88048-000, Brazil",(48) 3238-1917,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6713435850365712947,45,"{'lat': -27.6514149, 'lng': -48.517747}",Mario Pneus
ChIJj-OR-TFIJ5URJLYuhGN2DLw,OPERATIONAL,"Av. Marinheiro Max Schramm, 3234 - Jardim Atlântico, Florianópolis - SC, 88095-000, Brazil",(48) 3039-0055,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13550335548642473508,135,"{'lat': -27.5768836, 'lng': -48.5936927}",Pneu Mais Auto Center
ChIJD7nIVQM5J5URVUdgBhgujv4,OPERATIONAL,"R. João Pio Duarte Silva, 814 - Córrego Grande, Florianópolis - SC, 88037-001, Brazil",(48) 3028-4422,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18342649013047674709,122,"{'lat': -27.5999536, 'lng': -48.5089826}",Chalé Pneus
ChIJg3hUYVo5J5URHxDzKMTyedY,OPERATIONAL,"R. Silva Jardim, 145 - Centro, Florianópolis - SC, 88020-199, Brazil",(48) 3240-4900,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=15454650520613097503,26,"{'lat': -27.6023213, 'lng': -48.5458077}",Casa Grande | Pneus | Pneus Centro Florianópolis | Acessórios Carro
ChIJVWDVne44J5URG3KKYjt2lyo,OPERATIONAL,"Rod. Admar Gonzaga, 1008 - Itacorubi, Florianópolis - SC, 88034-000, Brazil",(48) 3024-5491,3.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3069051668504670747,107,"{'lat': -27.5794319, 'lng': -48.50535}",Martins repair wheels
ChIJI1W1FC9IJ5URqQzStYftol8,OPERATIONAL,"Avenida Marinheiro Max Schramm, 2157- Estreito - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 4009-5900,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6891331546957089961,300,"{'lat': -27.582161, 'lng': -48.5859316}",DPaschoal
ChIJ698R3yZIJ5URuuSqz2PJQYw,OPERATIONAL,"R. Bonfim, 05 - Passa Vinte, Palhoça - SC, 88132-135, Brazil",(48) 3374-6656,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10106580469319132346,85,"{'lat': -27.6411633, 'lng': -48.6686559}","HOT MEGA Pneus, Suspensão e troca de óleo"
ChIJvdi7EDJIJ5UR5gsfzyVpCR8,OPERATIONAL,"Av. Marinheiro Max Schramm, 3325 - Jardim Atlântico, Florianópolis - SC, 88095-000, Brazil",(48) 3240-4900,3.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2236434301075786726,1525,"{'lat': -27.576733, 'lng': -48.59484}",Casa Grande Autoshopping
ChIJUxQHtKNJJ5URMiE311p2iRc,OPERATIONAL,"R. Célio Veiga, 165 - Jardim Cidade de Florianopolis, São José - SC, 88111-320, Brazil",(48) 3208-1465,4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1696016867211551026,74,"{'lat': -27.5631529, 'lng': -48.61599959999999}",Pit Stop Tires
ChIJfYBq0wA2J5URrijwSWkS2b8,OPERATIONAL,"R. Pedro Cota de Castro, 9260 - Picadas do Sul, São José - SC, 88106-102, Brazil",(48) 3240-4900,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13824100774611789998,243,"{'lat': -27.6076039, 'lng': -48.6369652}",Casa Grande /Loja de Pneus em São José
ChIJZ9xoNO83J5URo-rpEVcI_AQ,OPERATIONAL,"R. Fúlvio Aducci, 562 - Estreito, Florianópolis - SC, 88075-000, Brazil",(48) 3364-0764,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=359171240338516643,91,"{'lat': -27.5907585, 'lng': -48.5733884}",Damiani Pneus
ChIJr-XZArZJJ5URNcy5kZesTNc,OPERATIONAL,"Av. Marinheiro Max Schramm, 3553 - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",0800 006 2800,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=15513964583369428021,314,"{'lat': -27.5756217, 'lng': -48.5966079}",Fredy Pneus - Loja Florianópolis
ChIJ3WVdDjI2J5URYvtZ0G_dhLw,OPERATIONAL,"Av. Gov. Ivo Silveira, 3691 - Capoeiras, Florianópolis - SC, 88010-100, Brazil",(48) 3248-4414,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13584225848362924898,258,"{'lat': -27.6006467, 'lng': -48.6030188}",Campneus
ChIJK0BD7sg1J5URPt5jd80zpOo,OPERATIONAL,"R. João Born, 871 - Pte. do Imaruim, Palhoça - SC, 88130-800, Brazil",(48) 3086-1323,3.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16907695858620030526,9,"{'lat': -27.6402071, 'lng': -48.6556943}",Pneus E Cia Goodyear
ChIJpb5YSD05J5UR-ITcdkB9zGM,OPERATIONAL,"Rua Padre Roma, 110 - Centro, Florianópolis - SC, 88010-090, Brazil",(48) 3771-7073,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7191260420829381880,42,"{'lat': -27.5951535, 'lng': -48.5570578}",França Pneus
ChIJJftbWSQ2J5UR_dOr8yT4Mt4,OPERATIONAL,"Av. Presidente Kennedy, 585 - Campinas, São José - SC, 88102-400, Brazil",(48) 4009-5850,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16011132462846170109,208,"{'lat': -27.6009179, 'lng': -48.61079669999999}",DPaschoal
ChIJyUkjMKQ1J5URMZVbT__6Kas,OPERATIONAL,"Av. Atílio Pedro Pagani, 445 - Pagani, Palhoça - SC, 88132-149, Brazil",(48) 3242-5050,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12333665028985820465,366,"{'lat': -27.6422024, 'lng': -48.6743034}",Floripa Tires Palhoça
ChIJtwqvr7w7J5UReWYwfllkVMY,OPERATIONAL,"Rodovia Francisco Magno Vieira, 2690 - Rio Tavares, Florianópolis - SC, 88048-000, Brazil",,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=14291157853085394553,20,"{'lat': -27.6600849, 'lng': -48.5032084}",Pneu Leve
ChIJ1YuVFwE2J5URw2yxksaUh5o,OPERATIONAL,"Rua Luiz Fagundes, 982 - Picadas do Sul, São José - SC, 88106-505, Brazil",(48) 3066-6535,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=11135032184282377411,105,"{'lat': -27.60574, 'lng': -48.6356182}",Hamada Pneus - Santa Catarina
ChIJCf_HTYVJJ5URQfuEF7HGIyo,OPERATIONAL,"R. Domingos Pedro Hermes, 2063 - sala b - Jardim Cidade de Florianopolis, São José - SC, 88111-330, Brazil",(48) 3246-3490,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3036489037683948353,119,"{'lat': -27.5623091, 'lng': -48.6165945}",Campneus
ChIJf6ASbgFHJ5URHoWunloq_4E,OPERATIONAL,"R. Lauro Linhares, 262 - Trindade, Florianópolis - SC, 88036-000, Brazil",(48) 3365-5739,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9367252318651581726,112,"{'lat': -27.5818641, 'lng': -48.5265633}",Borracharia Trindade Pneus e Baterias
ChIJPwDeddpJJ5UR0rr5Z4HYrWM,OPERATIONAL,"R. Gerôncio Thives, 397 - Barreiros, São José - SC, 88117-290, Brazil",(48) 3240-7886,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7182635031032609490,27,"{'lat': -27.5863788, 'lng': -48.6089008}",Jackson Pneus
ChIJtfTV69tJJ5URysdMqeei0qE,OPERATIONAL,"Av. Josué di Bernardi, 18 - Campinas, São José - SC, 88101-200, Brazil",(48) 3241-5555,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=11660561501077161930,84,"{'lat': -27.5992071, 'lng': -48.605494}",Bonetti Auto Center
ChIJN4DkIqU3J5URKO5sgeas3eQ,OPERATIONAL,"R. Des. Pedro Silva, 1810 - Coqueiros, Florianópolis - SC, 88080-700, Brazil",(48) 3204-7806,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16491527516514479656,78,"{'lat': -27.610834, 'lng': -48.580455}",CR Pneus
ChIJtUlp6cg1J5URdEXC77lgDcI,OPERATIONAL,"R. José Bonifácio de Souza, 379 - Passa Vinte, Palhoça - SC, 88132-140, Brazil",(48) 3242-2929,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13982938769762960756,50,"{'lat': -27.6417958, 'lng': -48.6690936}",Tires and Co.
ChIJVVVlcyZIJ5UR-HRnXvCPMVI,OPERATIONAL,"Av. Marinheiro Max Schramm, 2435 - Estreito, Florianópolis - SC, 88095-000, Brazil",(48) 3771-1940,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5922673247507674360,39,"{'lat': -27.5803902, 'lng': -48.58733369999999}",Bonetti Auto Center - Estreito
ChIJYVUTjbU5J5URsaP6jm27T2E,OPERATIONAL,"Rua João Motta Espezim, 95 - Saco dos Limões, Florianópolis - SC, 88045-400, Brazil",(48) 3333-6560,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7012029224063771569,179,"{'lat': -27.6092387, 'lng': -48.53856520000001}",Borracharia Ceará
ChIJE8XXP081J5URDPpLLq0VgSA,OPERATIONAL,"BR 101 KM 209 - Picadas do Sul, São José - SC, 88106-101, Brazil",(48) 3240-4900,3.2,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=2342177114759625228,17,"{'lat': -27.6111215, 'lng': -48.6407991}",Filial Casa Grande Pneus AutoShopping | Pneus | Pneus em Promoção | Comprar Pneus
ChIJw_zoWbdJJ5URPFoGc190Ck8,OPERATIONAL,"Av. Leoberto Leal, 936 - Barreiros, São José - SC, 88110-000, Brazil",(48) 3246-1600,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5695492632063924796,224,"{'lat': -27.5688684, 'lng': -48.6084428}",Cabral Auto Center
ChIJk75gaSo6J5UR03adouFybGI,OPERATIONAL,"R. João Câncio Jacques, 2218 - Costeira do Pirajubaé, Florianópolis - SC, 88047-001, Brazil",(48) 3226-1447,4.6,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=7092169826623125203,46,"{'lat': -27.6380398, 'lng': -48.5223772}",Nn Pneus
ChIJhTJISQM1J5URDWDFJohJulg,OPERATIONAL,"R. Raymundo Ramos Da Costa Almeida - Brejaru, Palhoça - SC, 88133-514, Brazil",(48) 3342-9300,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6393503470120689677,8,"{'lat': -27.6149105, 'lng': -48.6611556}",Bellenzier Pneus
ChIJAXbcFLtJJ5URATBX08lqKDU,OPERATIONAL,"Av. Leoberto Leal, 1324 - Barreiros, São José - SC, 88110-000, Brazil",(48) 3257-6630,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3830428898145284097,148,"{'lat': -27.5664114, 'lng': -48.61252080000001}",Serrano Pneus
ChIJP2C8w6lJJ5URGU4LW0SjkCE,OPERATIONAL,"R. Juscelino Kubitscheck, 249 - Campinas, São José - SC, 88117-125, Brazil",(48) 99986-8689,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2418612513878527513,84,"{'lat': -27.5892654, 'lng': -48.6080079}",Fernandes Pneus
ChIJ0ScZQ9RJJ5URe1cYq9WGpIQ,OPERATIONAL,"R. Prof. Egídio Ferreira, 1292 - Monte Cristo, Florianópolis - SC, 88090-500, Brazil",(48) 3240-7953,3.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9557912561443690363,28,"{'lat': -27.5867655, 'lng': -48.601536}",Bonetti Auto Center - Jardim Atlântico
ChIJn8RCoeo1J5URElqfCd8lHIQ,OPERATIONAL,"Av. Presidente Kennedy, 861 - Campinas, São José - SC, 88101-000, Brazil",(48) 3271-1233,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9519525352223758866,18,"{'lat': -27.601583, 'lng': -48.61460049999999}",Pneus Automotivos Dimas São José
ChIJJVt9TxtKJ5URl_Y-RBAJMjc,OPERATIONAL,"R. Ver. Arthur Manoel Mariano, nº 1702 - Forquilhinhas, São José - SC, 88106-501, Brazil",(48) 3375-4784,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3977251386390673047,28,"{'lat': -27.5952211, 'lng': -48.64469279999999}",Imperatriz Pneus
ChIJGUnfDiU2J5UR5WXGIxVqy5k,OPERATIONAL,"Av. Presidente Kennedy, 559 - Campinas, São José - SC, 88101-001, Brazil",(48) 3241-6161,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=11082067947102299621,1,"{'lat': -27.6008973, 'lng': -48.6105403}",Dva Pneus
ChIJgRqbqSk2J5URhp9y0nho4_M,OPERATIONAL,"Av. Josué di Bernardi, 781 - Campinas, São José - SC, 88101-201, Brazil",(48) 3241-4080,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17574005039065898886,54,"{'lat': -27.5937104, 'lng': -48.6059392}",Haros Pneus e Rodas - Auto Center
ChIJ48qfSetJJ5URsYZJNf1wIEE,OPERATIONAL,"Bela Vista, São José - State of Santa Catarina, 88110-603, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4692875044543104689,,"{'lat': -27.5787562, 'lng': -48.6227525}",Bela Pneus
ChIJZ80B-s8Y35QRhtdNTyb8HMQ,OPERATIONAL,"Av. Lédio João Martins, 1555 - Kobrasol, São José - SC, 89012-001, Brazil",(48) 3372-9030,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=14131446972251232134,107,"{'lat': -27.589217, 'lng': -48.6124829}",Podium Automotive Center
ChIJExrvA4g7J5URqZ2JU6cBJpU,OPERATIONAL,"Servidão Aguiar, 133 - Rio Tavares, Florianópolis - SC, 88048-381, Brazil",(48) 99991-6788,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10747279378938961321,102,"{'lat': -27.652086, 'lng': -48.477913}",Roberto Pneus Borracharia
ChIJCyoX7tk3J5URVgTj20kEKGU,OPERATIONAL,"Rua Araci Vaz Callado, 1080 - Canto, Florianópolis - SC, 88070-750, Brazil",(48) 3248-9090,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7289080712167359574,118,"{'lat': -27.5874979, 'lng': -48.5855894}",Jóia Pneus
ChIJcYhpDL5JJ5UR2xZ5r_j031s,OPERATIONAL,"R. Camilo Veríssimo da Silva, 350 - Roçado, São José - SC, 88108-250, Brazil",(48) 99900-2655,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6620279326190933723,8,"{'lat': -27.5950962, 'lng': -48.6195224}",Borracharia pneus e rodas Villas pneus
ChIJ02sgc7I1J5URE22r0GS4Lbc,OPERATIONAL,"Av. Barão do Rio Branco, 101 - Centro, Palhoça - SC, 88130-101, Brazil",(48) 3242-1958,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13199408826029927699,98,"{'lat': -27.6493476, 'lng': -48.6685039}",Rudi Pneus
ChIJQ4T_PSNMJ5URQcgAlSBvLDw,OPERATIONAL,"R. Valentim Viêira Salima Salum, 989 - Rio Caveiras, Biguaçu - SC, 88160-302, Brazil",(48) 4109-0105,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4335962726980438081,82,"{'lat': -27.5067053, 'lng': -48.6472935}",Coelho Pneus
ChIJo7kTkOo1J5URvsBZAxzg-jc,OPERATIONAL,"R. Vinícius de Moraes, 1 - Pte. do Imaruim, Palhoça - SC, 88130-605, Brazil",(48) 99948-9287,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4033782827183620286,10,"{'lat': -27.6286722, 'lng': -48.6569762}",JC Pneus
ChIJWwytL4Q6J5URfIa_q-yApaY,OPERATIONAL,"R. José Corrêa, 128 - Tapera, Florianópolis - SC, 88049-400, Brazil",(48) 3337-1453,3.1,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12008145735435388540,11,"{'lat': -27.6897562, 'lng': -48.5551205}",Borracharia Naza Pneus
ChIJdZ9JKlU0J5URvLfLLLwOWlA,OPERATIONAL,"R. Edeling Schutz, 359 - Centro, Palhoça - SC, 88131-340, Brazil",(48) 3342-8784,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5789956472306382780,67,"{'lat': -27.6560112, 'lng': -48.6770791}",F1 Pneus
ChIJlcc3Xg9JJ5UR_rvX6aW5D4M,OPERATIONAL,"R. Nelson Floriano Campos, 3327 - Barra do Aririu, Palhoça - SC, 88134-100, Brazil",(48) 99140-1771,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9443971065863191550,11,"{'lat': -27.6792315, 'lng': -48.6680832}",101 Pneus
ChIJQcZXpoQ5J5URPqdH8w-dYjY,OPERATIONAL,"R. João Câncio Jacques, 1351 - Costeira do Pirajubaé, Florianópolis - SC, 88047-000, Brazil",(48) 99949-3093,4.4,"['car_wash', 'car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3918867317597382462,43,"{'lat': -27.6301994, 'lng': -48.5238851}",Borracharia Canarinho
ChIJ9xuzOxo5J5URhL0ySVzthIU,OPERATIONAL,"R. João Pio Duarte Silva, 1300 - Córrego Grande, Florianópolis - SC, 88037-001, Brazil",(48) 3226-8830,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9621075684591058308,44,"{'lat': -27.6015266, 'lng': -48.5045575}",Borracharia
ChIJoXkw_sI3J5URXuExWTLr3fM,OPERATIONAL,"R. Santos Saraiva, 915 - Estreito, Florianópolis - SC, 88070-101, Brazil",,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17572459922546876766,54,"{'lat': -27.5945417, 'lng': -48.5811011}",Borracharia do Edu
ChIJ2xEOwgA5J5URlpLlau5IDMU,OPERATIONAL,"Carvoeira, Florianópolis - State of Santa Catarina, 88040-000, Brazil",,3.8,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=14198803914025177750,11,"{'lat': -27.6017049, 'lng': -48.5171039}",Borracharia
ChIJld1hvt04J5UR85YvqEKKoUk,OPERATIONAL,"Servidão José Manoel Nunes, 59 - Itacorubi, Florianópolis - SC, 88034-365, Brazil",(48) 3236-2397,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5305673854913320691,99,"{'lat': -27.5841922, 'lng': -48.4955995}",Silênio Borracharia
ChIJvYYo0mhHJ5URAVGoPfpFvho,OPERATIONAL,"Saco Grande, Florianópolis - State of Santa Catarina, 88032-088, Brazil",,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1927054631639732481,33,"{'lat': -27.5427933, 'lng': -48.5035538}",Borracharia
ChIJO-AQ70U4J5URpeM225gHHgE,OPERATIONAL,"trans - Rua, trans - R. Subida da Caiera, n. 1210 - Centro, Florianópolis - SC, 88045-398, Brazil",(48) 3333-8273,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=80510196433478565,19,"{'lat': -27.5927334, 'lng': -48.5339561}",Borracharia Do Elias
ChIJv-bKtSs2J5URTKnaM5pfnkE,OPERATIONAL,"Monte Cristo, Florianópolis - State of Santa Catarina, 88090-598, Brazil",,4.2,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=4728321774685169996,5,"{'lat': -27.5923086, 'lng': -48.6021234}",Borracharia
ChIJR6t6CCU2J5URsOHpp8T_T0M,OPERATIONAL,"R. Cruz e Souza, 30 - Campinas, São José - SC, 88101-040, Brazil",,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4850376543797109168,90,"{'lat': -27.6004385, 'lng': -48.61061369999999}",Borracharia Osmar
ChIJzcbXvbVBJ5URlgsK4fqg3II,OPERATIONAL,"Rod. João Gualberto Soares, 5748 - São João do Rio Vermelho, Florianópolis - SC, 88060-000, Brazil",,4.2,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=9429588719184776086,11,"{'lat': -27.4842013, 'lng': -48.4201511}",Mecânica Divino Chapeação e Borracharia
ChIJu9DNHNVJJ5URERzk1VVayIY,OPERATIONAL,"R. Prof. Egídio Ferreira, 1200 - Capoeiras, Florianópolis - SC, 88090-500, Brazil",(48) 98465-5970,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9712111921131691025,41,"{'lat': -27.5874785, 'lng': -48.6006531}",Borracharia JA
ChIJ2S7Szb05J5URNUQCySNkJeE,OPERATIONAL,"R. Gen. Bittencourt, 348 - Centro, Florianópolis - SC, 88020-100, Brazil",(48) 3333-9490,3.4,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=16223483337531081781,45,"{'lat': -27.597014, 'lng': -48.545554}",Guincho Oficina Mecanica 24 hs Borracharia Carro e Motos 24hs
ChIJVylZgXRJJ5URVBHPSN9WPQI,OPERATIONAL,"R. Jacobe Sens, 301 - Areias, São José - SC, 88113-285, Brazil",(48) 3246-9803,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=161380678654431572,20,"{'lat': -27.5553172, 'lng': -48.6234077}",Borracharia Vitória
ChIJ5Xy2FSdCJ5URdnRQBW31JeM,OPERATIONAL,"SC-405, 2747 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",,3.6,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=16367758269337334902,9,"{'lat': -27.6598342, 'lng': -48.5026617}",Borracharia Silva
ChIJoWvjGzJIJ5URbBGS5tM1dj8,OPERATIONAL,"Av. Marinheiro Max Schramm, 3299-3249 - Jardim Atlântico, Florianópolis - SC, 88095-240, Brazil",,4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4572901655864021356,5,"{'lat': -27.5769077, 'lng': -48.5941585}",Borracharia
ChIJj3gusoo3J5URKzkxknTZssk,OPERATIONAL,"R. Rui Barbosa, 724 - Agronômica, Florianópolis - SC, 88025-301, Brazil",(48) 3365-8016,4.1,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=14533918042170145067,56,"{'lat': -27.5743442, 'lng': -48.5356521}",Clinic of Wheels and Tire
